[0, 32.0, 140.0, 90.0, 0.0];[1, 186.809, 105.414, 115.0, 0.0];[2, 293.572, 57.66, 140.0, 0.0];
[0, 27.5, 140.0, 90.0, 0.0];[1, 183.637, 106.893, 115.0, 0.0];[2, 291.965, 59.576, 140.0, 0.0];
[0, 23.0, 140.0, 90.0, 0.0];[1, 180.465, 108.372, 115.0, 0.0];[2, 290.358, 61.491, 140.0, 0.0];
[0, 18.5, 140.0, 90.0, 0.0];[1, 177.293, 109.852, 115.0, 0.0];[2, 288.751, 63.406, 140.0, 0.0];
[0, 14.0, 140.0, 90.0, 0.0];[1, 174.121, 111.331, 115.0, 0.0];[2, 287.144, 65.321, 140.0, 0.0];
[0, 9.5, 140.0, 90.0, 0.0];[1, 170.949, 112.81, 115.0, 0.0];[2, 285.537, 67.236, 140.0, 0.0];
[0, 5.0, 140.0, 90.0, 0.0];[1, 167.777, 114.289, 115.0, 0.0];[2, 283.93, 69.151, 140.0, 0.0];
[0, 0.5, 140.0, 90.0, 0.0];[1, 164.605, 115.768, 115.0, 0.0];[2, 282.323, 71.066, 140.0, 0.0];
[0, -4.0, 140.0, 90.0, 0.0];[1, 161.433, 117.247, 115.0, 0.0];[2, 280.716, 72.981, 140.0, 0.0];
[0, -8.5, 140.0, 90.0, 0.0];[1, 158.26, 118.727, 115.0, 0.0];[2, 279.109, 74.896, 140.0, 0.0];
[0, -13.0, 140.0, 90.0, 0.0];[1, 155.088, 120.206, 115.0, 0.0];[2, 277.502, 76.812, 140.0, 0.0];
[0, -17.5, 140.0, 90.0, 0.0];[1, 151.916, 121.685, 115.0, 0.0];[2, 275.895, 78.727, 140.0, 0.0];
[0, -22.0, 140.0, 90.0, 0.0];[1, 148.744, 123.164, 115.0, 0.0];[2, 274.288, 80.642, 140.0, 0.0];
[0, -26.5, 140.0, 90.0, 0.0];[1, 145.572, 124.643, 115.0, 0.0];[2, 272.682, 82.557, 140.0, 0.0];
[0, -31.0, 140.0, 90.0, 0.0];[1, 142.4, 126.122, 115.0, 0.0];[2, 271.075, 84.472, 140.0, 0.0];
[0, -35.5, 140.0, 90.0, 0.0];[1, 139.228, 127.602, 115.0, 0.0];[2, 269.468, 86.387, 140.0, 0.0];
[0, -40.0, 140.0, 90.0, 0.0];[1, 136.056, 129.081, 115.0, 0.0];[2, 267.861, 88.302, 140.0, 0.0];
